Dataset,Configuration,Buffer_Mode,Threshold_Mode,F1,Accuracy,Precision,Recall,FPR,FNR,Final_Buffer,Final_Threshold
MISP Threat Intel,"Fixed Medium (buf=50, th=0.5)",fixed,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,50,0.5
MISP Threat Intel,"Fixed Large (buf=100, th=0.5)",fixed,fixed,0.9538228614685844,0.9715333333333334,0.9439212328767124,0.9639344262295082,0.02513189448441247,0.036065573770491806,100,0.5
MISP Threat Intel,Fixed buf=50 th=0.3 (sensitive),fixed,fixed,0.934260429835651,0.9584,0.9017693715680293,0.9691803278688524,0.04633093525179856,0.03081967213114754,50,0.3
MISP Threat Intel,Fixed buf=50 th=0.7 (strict),fixed,fixed,0.954452017743157,0.9719333333333333,0.9449443016281063,0.9641530054644809,0.024652278177458034,0.03584699453551913,50,0.7
MISP Threat Intel,Random Forest,static,static,0.9722252717092985,0.9831333333333333,0.976621085134539,0.9678688524590164,0.010167865707434052,0.032131147540983604,N/A,N/A
MISP Threat Intel,XGBoost,static,static,0.973678438254003,0.984,0.9771076381245872,0.9702732240437159,0.009976019184652279,0.029726775956284153,N/A,N/A
MISP Threat Intel,LightGBM,static,static,0.9728129796097347,0.9834666666666667,0.9758082252034308,0.9698360655737704,0.010551558752997603,0.03016393442622951,N/A,N/A
MISP Threat Intel,SVM,static,static,0.972237462964995,0.9831333333333333,0.9762009695901278,0.9683060109289617,0.010359712230215827,0.03169398907103825,N/A,N/A
MISP Threat Intel,KNN,static,static,0.9669064748201439,0.9800666666666666,0.979372197309417,0.9547540983606557,0.008824940047961631,0.04524590163934426,N/A,N/A
MISP Threat Intel,Naive Bayes,static,static,0.9357053682896379,0.9588,0.8927933293627159,0.9829508196721312,0.051798561151079135,0.017049180327868854,N/A,N/A
MISP Threat Intel,MLP,static,static,0.9595839202513815,0.9751333333333333,0.9514396218306833,0.9678688524590164,0.021678657074340527,0.032131147540983604,N/A,N/A
